m,k,n,time_us,throughput_TFLOPS,bandwidth_GBs
32768,4096,2048,381.626,1440.5617381624943,725.3805139062852
32768,8192,2048,760.357,1446.0465646742252,551.6229876229191
32768,12288,2048,1115.0,1479.1636248107625,504.06882152466375
32768,4096,16384,3029.0,1451.9796999352923,420.95358732254874
32768,8192,16384,6170.0,1425.6228561115072,239.28606288492705
32768,12288,16384,9214.0,1431.966521957022,182.0839591925331
